Comment,Description,Designator,Footprint,LibRef,Quantity,LCSC Part #
"1u","CAP CER 1UF 50V X5R 0603","C1, C2, C13, C15, C17, C19, C21, C23, C25, C27, C31, C33","CAP 0603_1608","06035D105KAT2A","12","C15849"
"22u","CAP CER 22UF 25V X5R 0805","C3, C4","CAP 0805_2012","TMK212BBJ226MG-TT","2","C45783"
"10p","CAP CER 10PF 50V C0G/NP0 0402","C5, C6","CAP 0402_1005","04025U100JAT2A","2","C32949"
"100n","CAP CER 0.1UF 50V X5R 0402","C7, C9, C10, C11, C12, C29, C32, C35, C37, C38","CAP 0402_1005","CGA2B3X5R1H104M050BB","10","C307331"
"4.7u","CAP CER 4.7UF 16V X5R 0603","C8","CAP 0603_1608","GRM188R61C475KE11D","1","C19666"
"10n","CAP CER 0402 10NF 50V X7R 10%","C14","CAP 0402_1005","C0402C103K5RECAUTO","1","C15195"
"1n","CAP CER 0402 1NF 50V X7R 10%","C16, C18, C20, C22, C24, C26","CAP 0402_1005","C0402C102K5RECAUTO","6","C1523"
"10u","CAP CER 10UF 10V X5R 0603","C28, C30, C34, C36","CAP 0603_1608","GRT188R61A106KE13D","4","C96446"
"PMEG4010BEA,115","DIODE SCHOTTKY 40V 1A SOD323","D1, D2","SOD323","PMEG4010BEA,115","2","C191023"
"Red","LED RED 0603 SMD","D3, D5","LED 0603_1608 RED","5973005507F","2","C2286"
"100 Ohms @ 100MHz","FERRITE BEAD 100 OHM 0805 1LN","FB1","FER 0805_2012","Z0805C101ASMST","1","C1015"
"47589-0001","Right Angle Female Type AB Micro USB Connector, 30 V, 1.8 A, -30 to 85 degC, RoHS, Tape and Reel","J2","MOLX-47589-0001_V","CMP-2000-05610-1","1","C114094"
"2.2k","RES 2.2K OHM 0.05% 1/10W 0402","R1, R2, R3, R4, R6, R7, R9","RES 0402_1005","ERA-2VRW2201X","7","C25879"
"1.5k","RES 1.5K OHM 1% 1/4W 0402","R5","RES 0402_1005","ERJ-PA2F1501X","1","C25867"
"33","RES 33 OHM 1% 1/16W 0402","R8, R10, R11, R12, R15, R27, R28, R29, R30, R32, R33","RES 0402_1005","CRCW040233R0FKEDC","11","C25105"
"330","RES SMD 330 OHM 1% 1/16W 0402","R16, R18, R20, R22, R24, R26","RES 0402_1005","AF0402FR-07330RL","6","C25104"
"10k","RES SMD 10K OHM 1% 1/16W 0402","R17, R19, R21, R23, R25, R31, R34, R35","RES 0402_1005","RT0402FRE0710KL","8","C25744"
"AMS1117-3.3","LDO Voltage Regulators 1A, 3.3V","U1","FP-AMS1117-IPC_C","CMP-209535-000001-1","1","C6186"
"STM32F302CBT6","ARM Cortex-M4 32-bit MCU, 128 KB Flash, 24 KB Internal RAM, 37 I/Os, 48-pin LQFP, -40 to 85 degC, Tray","U2","STM-LQFP48_N","CMP-0572-00016-2","1","C94046"
"TLV320AIC3254IRHBR","Very Low-Power Stereo Audio CODEC with miniDSP and Power TuneTM Technology, 2 ADCs and 2 DACs, 100 dB DAC SNR, -40 to 85 degC, 32-pin QFN (RHB), Green (RoHS & no Sb/Br)","U3","RHB0032E_V","CMP-0331-00051-2","1","C9925"
"X322525MOB4SI","Crystal 25MHz Yangxing-Tech-X322525MOB4SI","Y1","FP-ABM8-MFG","CMP-27762-000036-1","1","C9006"
