Designator,Comment,Layer,Footprint,Mid X,Mid Y,Rotation,Description
J2,47589-0001,Top,MOLX-47589-0001_V,104.2665,97.8095,180,"Right Angle Female Type AB Micro USB Connector, 30 V, 1.8 A, -30 to 85 degC, RoHS, Tape and Reel"
R12,33,Top,RES_0402_1005,111.4458,87.825,90,RES 33 OHM 1% 1/16W 0402
Y1,X322525MOB4SI,Top,FP-ABM8-MFG,88.8543,86.3958,90,Crystal 25MHz Yangxing-Tech-X322525MOB4SI
P1,Header 4X2,Top,HDR2X4,91.52,71.77,270,"Header, 4-Pin, Dual row"
U3,TLV320AIC3254IRHBR,Top,RHB0032E_V,109.4,70.1213,270,"Very Low-Power Stereo Audio CODEC with miniDSP and Power TuneTM Technology, 2 ADCs and 2 DACs, 100 dB DAC SNR, -40 to 85 degC, 32-pin QFN (RHB), Green (RoHS & no Sb/Br)"
J1,B2B-XH-A(LF)(SN),Top,JST_XH_B2B-XH-A,91.75,96.25,180,CONN HEADER VERT 2POS 2.5MM
C18,1n,Top,CAP_0402_1005,89.125,62.0293,180,CAP CER 0402 1NF 50V X7R 10%
C17,1u,Top,CAP_0603_1608,89.525,63.6335,0,CAP CER 1UF 50V X5R 0603
R19,10k,Top,RES_0402_1005,89.35,59.1458,0,RES SMD 10K OHM 1% 1/16W 0402
R18,330,Top,RES_0402_1005,89.325,60.6,180,RES SMD 330 OHM 1% 1/16W 0402
R23,10k,Top,RES_0402_1005,95.6,59.1043,180,RES SMD 10K OHM 1% 1/16W 0402
R22,330,Top,RES_0402_1005,95.6,60.5585,0,RES SMD 330 OHM 1% 1/16W 0402
C22,1n,Top,CAP_0402_1005,95.8,61.9878,0,CAP CER 0402 1NF 50V X7R 10%
C21,1u,Top,CAP_0603_1608,95.4,63.592,180,CAP CER 1UF 50V X5R 0603
C16,1n,Top,CAP_0402_1005,101,61.9878,180,CAP CER 0402 1NF 50V X7R 10%
R33,33,Top,RES_0402_1005,109.2,84.8,0,RES 33 OHM 1% 1/16W 0402
R17,10k,Top,RES_0402_1005,101.2,59.1043,0,RES SMD 10K OHM 1% 1/16W 0402
R16,330,Top,RES_0402_1005,101.2,60.5585,180,RES SMD 330 OHM 1% 1/16W 0402
R4,2.2k,Top,RES_0402_1005,118.1,81,90,RES 2.2K OHM 0.05% 1/10W 0402
C38,100n,Top,CAP_0402_1005,105.5,67.95,90,CAP CER 0.1UF 50V X5R 0402
R3,2.2k,Top,RES_0402_1005,116.6458,81,90,RES 2.2K OHM 0.05% 1/10W 0402
C15,1u,Top,CAP_0603_1608,101.4,63.592,0,CAP CER 1UF 50V X5R 0603
R10,33,Top,RES_0402_1005,103.2935,92.5504,270,RES 33 OHM 1% 1/16W 0402
R9,2.2k,Top,RES_0402_1005,101.1643,91.8754,180,RES 2.2K OHM 0.05% 1/10W 0402
U2,STM32F302CBT6,Top,STM-LQFP48_N,101.428,85.3462,270,"ARM Cortex-M4 32-bit MCU, 128 KB Flash, 24 KB Internal RAM, 37 I/Os, 48-pin LQFP, -40 to 85 degC, Tray"
C9,100n,Top,CAP_0402_1005,98.56,91.8504,180,CAP CER 0.1UF 50V X5R 0402
C11,100n,Top,CAP_0402_1005,94.9237,88.5,270,CAP CER 0.1UF 50V X5R 0402
C8,4.7u,Top,CAP_0603_1608,95.375,92.0504,0,CAP CER 4.7UF 16V X5R 0603
C6,10p,Top,CAP_0402_1005,89.31,83.5,0,CAP CER 10PF 50V C0G/NP0 0402
R8,33,Top,RES_0402_1005,91.3207,85.25,90,RES 33 OHM 1% 1/16W 0402
C5,10p,Top,CAP_0402_1005,88.5,89.25,180,CAP CER 10PF 50V C0G/NP0 0402
R30,33,Top,RES_0402_1005,109.2,80.2543,0,RES 33 OHM 1% 1/16W 0402
R28,33,Top,RES_0402_1005,106.3,78.8169,0,RES 33 OHM 1% 1/16W 0402
R27,33,Top,RES_0402_1005,109.1042,78.8,0,RES 33 OHM 1% 1/16W 0402
R29,33,Top,RES_0402_1005,109.2,81.7085,0,RES 33 OHM 1% 1/16W 0402
R32,33,Top,RES_0402_1005,109.2,83.1628,0,RES 33 OHM 1% 1/16W 0402
R5,1.5k,Top,RES_0402_1005,108.675,90.4293,180,RES 1.5K OHM 1% 1/4W 0402
C10,100n,Top,CAP_0402_1005,108,88.5,90,CAP CER 0.1UF 50V X5R 0402
D2,"PMEG4010BEA,115",Top,SOD323,114.6385,96.6263,180,DIODE SCHOTTKY 40V 1A SOD323
FB1,100 Ohms @ 100MHz,Top,FER_0805_2012,117.7207,93.822,270,FERRITE BEAD 100 OHM 0805 1LN
C1,1u,Top,CAP_0603_1608,120.5,94.6805,180,CAP CER 1UF 50V X5R 0603
C2,1u,Top,CAP_0603_1608,120.425,92.8763,180,CAP CER 1UF 50V X5R 0603
U1,AMS1117-3.3,Top,FP-AMS1117-IPC_C,118.6286,86.1903,0,"LDO Voltage Regulators 1A, 3.3V"
C4,22u,Top,CAP_0805_2012,120.75,81,180,CAP CER 22UF 25V X5R 0805
D1,"PMEG4010BEA,115",Top,SOD323,114.6385,94.622,180,DIODE SCHOTTKY 40V 1A SOD323
C12,100n,Top,CAP_0402_1005,103.66,78.8419,0,CAP CER 0.1UF 50V X5R 0402
C36,10u,Top,CAP_0603_1608,106.8958,75.1,0,CAP CER 10UF 10V X5R 0603
C37,100n,Top,CAP_0402_1005,109.2,74.6,270,CAP CER 0.1UF 50V X5R 0402
R11,33,Top,RES_0402_1005,105.4228,91.8754,0,RES 33 OHM 1% 1/16W 0402
C7,100n,Top,CAP_0402_1005,93.5,83.75,90,CAP CER 0.1UF 50V X5R 0402
C13,1u,Top,CAP_0603_1608,94,81.6457,0,CAP CER 1UF 50V X5R 0603
R2,2.2k,Top,RES_0402_1005,98.56,78.6419,180,RES 2.2K OHM 0.05% 1/10W 0402
C14,10n,Top,CAP_0402_1005,94.9237,83.75,270,CAP CER 0402 10NF 50V X7R 10%
D5,Red,Top,LED_0603_1608_RED,95.4318,78.6419,0,LED RED 0603 SMD
C3,22u,Top,CAP_0805_2012,120.725,90.872,180,CAP CER 22UF 25V X5R 0805
R7,2.2k,Top,RES_0402_1005,113,84.625,90,RES 2.2K OHM 0.05% 1/10W 0402
R6,2.2k,Top,RES_0402_1005,112.9,87.8,90,RES 2.2K OHM 0.05% 1/10W 0402
R1,2.2k,Top,RES_0402_1005,117.4207,91.0885,180,RES 2.2K OHM 0.05% 1/10W 0402
D3,Red,Top,LED_0603_1608_RED,114.8925,92.7178,0,LED RED 0603 SMD
C19,1u,Top,CAP_0603_1608,107.1,63.592,180,CAP CER 1UF 50V X5R 0603
R21,10k,Top,RES_0402_1005,107.3,59.1043,180,RES SMD 10K OHM 1% 1/16W 0402
R20,330,Top,RES_0402_1005,107.3,60.5585,0,RES SMD 330 OHM 1% 1/16W 0402
C20,1n,Top,CAP_0402_1005,107.5,61.9878,0,CAP CER 0402 1NF 50V X7R 10%
R24,330,Top,RES_0402_1005,112.9,60.5585,180,RES SMD 330 OHM 1% 1/16W 0402
C29,100n,Top,CAP_0402_1005,113.2543,67.6,90,CAP CER 0.1UF 50V X5R 0402
C24,1n,Top,CAP_0402_1005,112.7,61.9878,180,CAP CER 0402 1NF 50V X7R 10%
C28,10u,Top,CAP_0603_1608,114.8585,67.2,90,CAP CER 10UF 10V X5R 0603
C32,100n,Top,CAP_0402_1005,110.6435,74.5626,270,CAP CER 0.1UF 50V X5R 0402
C33,1u,Top,CAP_0603_1608,119.2707,73.2,90,CAP CER 1UF 50V X5R 0603
C35,100n,Top,CAP_0402_1005,113.3,72.9,270,CAP CER 0.1UF 50V X5R 0402
C30,10u,Top,CAP_0603_1608,113,76.9,180,CAP CER 10UF 10V X5R 0603
C34,10u,Top,CAP_0603_1608,115.7,72.6,180,CAP CER 10UF 10V X5R 0603
C31,1u,Top,CAP_0603_1608,113,75.0043,180,CAP CER 1UF 50V X5R 0603
R35,10k,Top,RES_0402_1005,120.9,73.5,270,RES SMD 10K OHM 1% 1/16W 0402
R26,330,Top,RES_0402_1005,119.15,60.5585,0,RES SMD 330 OHM 1% 1/16W 0402
R25,10k,Top,RES_0402_1005,112.9,59.1043,0,RES SMD 10K OHM 1% 1/16W 0402
R31,10k,Top,RES_0402_1005,119.15,59.1043,180,RES SMD 10K OHM 1% 1/16W 0402
C23,1u,Top,CAP_0603_1608,113.1,63.592,0,CAP CER 1UF 50V X5R 0603
C26,1n,Top,CAP_0402_1005,119.35,61.9878,0,CAP CER 0402 1NF 50V X7R 10%
C25,1u,Top,CAP_0603_1608,118.95,63.592,180,CAP CER 1UF 50V X5R 0603
R34,10k,Top,RES_0402_1005,120.8957,67.35,90,RES SMD 10K OHM 1% 1/16W 0402
C27,1u,Top,CAP_0603_1608,119.2665,67.55,270,CAP CER 1UF 50V X5R 0603
R15,33,Top,RES_0402_1005,117.3,78.8708,0,RES 33 OHM 1% 1/16W 0402
P3,Header 2X2,Top,HDR2X2,125.83,79.0357,270,"Header, 2-Pin, Dual row"
P2,Header 3X2,Top,HDR2X3,125.83,85.84,270,"Header, 3-Pin, Dual row"
J8,B3B-XH-A(LF)(SN),Top,JST_XH_B3B-XH-A,116,55.25,0,CONN HEADER VERT 3POS 2.5MM
J6,B3B-XH-A(LF)(SN),Top,JST_XH_B3B-XH-A,104.25,55.25,0,CONN HEADER VERT 3POS 2.5MM
J9,B3B-XH-A(LF)(SN),Top,JST_XH_B3B-XH-A,124.75,70.45,90,CONN HEADER VERT 3POS 2.5MM
J7,B3B-XH-A(LF)(SN),Top,JST_XH_B3B-XH-A,92.5,55.25,0,CONN HEADER VERT 3POS 2.5MM
J5,B3B-XH-A(LF)(SN),Top,JST_XH_B3B-XH-A,83.75,64.3958,270,CONN HEADER VERT 3POS 2.5MM
J4,B3B-XH-A(LF)(SN),Top,JST_XH_B3B-XH-A,83.75,75.75,270,CONN HEADER VERT 3POS 2.5MM
J3,B3B-XH-A(LF)(SN),Top,JST_XH_B3B-XH-A,83.75,87.1042,270,CONN HEADER VERT 3POS 2.5MM
